session_name,model_name,shot_strategy,planning,time
Session-2025-07-02-13-59-50,gpt-4.1-mini,zeroshot,0,6
Session-2025-07-02-13-59-50,gpt-4.1-mini,zeroshot,0,5
Session-2025-07-02-13-59-50,gpt-4.1-mini,zeroshot,0,5
Session-2025-07-02-13-59-50,gpt-4.1-mini,zeroshot,0,4
Session-2025-07-02-13-59-50,gpt-4.1-mini,zeroshot,0,8
Session-2025-07-02-13-59-50,gpt-4.1-mini,zeroshot,0,6
Session-2025-07-02-13-59-50,gpt-4.1-mini,zeroshot,0,3
Session-2025-07-02-13-59-50,gpt-4.1-mini,zeroshot,0,8
Session-2025-07-02-13-59-50,gpt-4.1-mini,zeroshot,0,4
Session-2025-07-02-14-01-55,gemini-2.5-flash,zeroshot,0,11
Session-2025-07-02-14-01-55,gemini-2.5-flash,zeroshot,0,5
Session-2025-07-02-14-01-55,gemini-2.5-flash,zeroshot,0,23
Session-2025-07-02-14-01-55,gemini-2.5-flash,zeroshot,0,4
Session-2025-07-02-14-01-55,gemini-2.5-flash,zeroshot,0,9
Session-2025-07-02-14-01-55,gemini-2.5-flash,zeroshot,0,14
Session-2025-07-02-14-01-55,gemini-2.5-flash,zeroshot,0,16
Session-2025-07-02-14-01-55,gemini-2.5-flash,zeroshot,0,7
Session-2025-07-02-14-01-55,gemini-2.5-flash,zeroshot,0,10
Session-2025-07-02-14-04-30,claude-sonnet-4-20250514,zeroshot,0,7
Session-2025-07-02-14-04-30,claude-sonnet-4-20250514,zeroshot,0,5
Session-2025-07-02-14-04-30,claude-sonnet-4-20250514,zeroshot,0,10
Session-2025-07-02-14-04-30,claude-sonnet-4-20250514,zeroshot,0,5
Session-2025-07-02-14-04-30,claude-sonnet-4-20250514,zeroshot,0,9
Session-2025-07-02-14-04-30,claude-sonnet-4-20250514,zeroshot,0,12
Session-2025-07-02-14-04-30,claude-sonnet-4-20250514,zeroshot,0,9
Session-2025-07-02-14-04-30,claude-sonnet-4-20250514,zeroshot,0,5
Session-2025-07-02-14-04-30,claude-sonnet-4-20250514,zeroshot,0,10
Session-2025-07-02-14-08-00,claude-sonnet-4-20250514,zeroshot,1,11
Session-2025-07-02-14-08-00,claude-sonnet-4-20250514,zeroshot,1,6
Session-2025-07-02-14-08-00,claude-sonnet-4-20250514,zeroshot,1,13
Session-2025-07-02-14-08-00,claude-sonnet-4-20250514,zeroshot,1,9
Session-2025-07-02-14-08-00,claude-sonnet-4-20250514,zeroshot,1,8
Session-2025-07-02-14-08-00,claude-sonnet-4-20250514,zeroshot,1,10
Session-2025-07-02-14-08-00,claude-sonnet-4-20250514,zeroshot,1,8
Session-2025-07-02-14-08-00,claude-sonnet-4-20250514,zeroshot,1,5
Session-2025-07-02-14-08-00,claude-sonnet-4-20250514,zeroshot,1,7
Session-2025-07-02-14-09-54,gpt-4.1-mini,zeroshot,1,5
Session-2025-07-02-14-09-54,gpt-4.1-mini,zeroshot,1,3
Session-2025-07-02-14-09-54,gpt-4.1-mini,zeroshot,1,6
Session-2025-07-02-14-09-54,gpt-4.1-mini,zeroshot,1,4
Session-2025-07-02-14-09-54,gpt-4.1-mini,zeroshot,1,4
Session-2025-07-02-14-09-54,gpt-4.1-mini,zeroshot,1,5
Session-2025-07-02-14-09-54,gpt-4.1-mini,zeroshot,1,3
Session-2025-07-02-14-09-54,gpt-4.1-mini,zeroshot,1,6
Session-2025-07-02-14-09-54,gpt-4.1-mini,zeroshot,1,6
Session-2025-07-02-14-10-50,gemini-2.5-flash,zeroshot,1,8
Session-2025-07-02-14-10-50,gemini-2.5-flash,zeroshot,1,4
Session-2025-07-02-14-10-50,gemini-2.5-flash,zeroshot,1,21
Session-2025-07-02-14-10-50,gemini-2.5-flash,zeroshot,1,5
Session-2025-07-02-14-10-50,gemini-2.5-flash,zeroshot,1,8
Session-2025-07-02-14-10-50,gemini-2.5-flash,zeroshot,1,6
Session-2025-07-02-14-10-50,gemini-2.5-flash,zeroshot,1,12
Session-2025-07-02-14-10-50,gemini-2.5-flash,zeroshot,1,9
Session-2025-07-02-14-10-50,gemini-2.5-flash,zeroshot,1,10
Session-2025-07-02-14-13-17,gemini-2.5-flash,oneshot,0,10
Session-2025-07-02-14-13-17,gemini-2.5-flash,oneshot,0,7
Session-2025-07-02-14-13-17,gemini-2.5-flash,oneshot,0,14
Session-2025-07-02-14-13-17,gemini-2.5-flash,oneshot,0,4
Session-2025-07-02-14-13-17,gemini-2.5-flash,oneshot,0,16
Session-2025-07-02-14-13-17,gemini-2.5-flash,oneshot,0,63
Session-2025-07-02-14-13-17,gemini-2.5-flash,oneshot,0,14
Session-2025-07-02-14-13-17,gemini-2.5-flash,oneshot,0,14
Session-2025-07-02-14-13-17,gemini-2.5-flash,oneshot,0,12
Session-2025-07-02-14-16-10,gpt-4.1-mini,oneshot,0,11
Session-2025-07-02-14-16-10,gpt-4.1-mini,oneshot,0,3
Session-2025-07-02-14-16-10,gpt-4.1-mini,oneshot,0,8
Session-2025-07-02-14-16-10,gpt-4.1-mini,oneshot,0,3
Session-2025-07-02-14-16-10,gpt-4.1-mini,oneshot,0,6
Session-2025-07-02-14-16-10,gpt-4.1-mini,oneshot,0,4
Session-2025-07-02-14-16-10,gpt-4.1-mini,oneshot,0,2
Session-2025-07-02-14-16-10,gpt-4.1-mini,oneshot,0,3
Session-2025-07-02-14-16-10,gpt-4.1-mini,oneshot,0,6
Session-2025-07-02-14-17-24,claude-sonnet-4-20250514,oneshot,0,8
Session-2025-07-02-14-17-24,claude-sonnet-4-20250514,oneshot,0,4
Session-2025-07-02-14-17-24,claude-sonnet-4-20250514,oneshot,0,8
Session-2025-07-02-14-17-24,claude-sonnet-4-20250514,oneshot,0,4
Session-2025-07-02-14-17-24,claude-sonnet-4-20250514,oneshot,0,8
Session-2025-07-02-14-17-24,claude-sonnet-4-20250514,oneshot,0,7
Session-2025-07-02-14-17-24,claude-sonnet-4-20250514,oneshot,0,7
Session-2025-07-02-14-17-24,claude-sonnet-4-20250514,oneshot,0,4
Session-2025-07-02-14-17-24,claude-sonnet-4-20250514,oneshot,0,8
Session-2025-07-02-14-19-02,claude-sonnet-4-20250514,oneshot,1,9
Session-2025-07-02-14-19-02,claude-sonnet-4-20250514,oneshot,1,7
Session-2025-07-02-14-19-02,claude-sonnet-4-20250514,oneshot,1,9
Session-2025-07-02-14-19-02,claude-sonnet-4-20250514,oneshot,1,16
Session-2025-07-02-14-19-02,claude-sonnet-4-20250514,oneshot,1,12
Session-2025-07-02-14-19-02,claude-sonnet-4-20250514,oneshot,1,10
Session-2025-07-02-14-19-02,claude-sonnet-4-20250514,oneshot,1,8
Session-2025-07-02-14-19-02,claude-sonnet-4-20250514,oneshot,1,8
Session-2025-07-02-14-19-02,claude-sonnet-4-20250514,oneshot,1,8
Session-2025-07-02-14-21-26,gpt-4.1-mini,oneshot,1,8
Session-2025-07-02-14-21-26,gpt-4.1-mini,oneshot,1,5
Session-2025-07-02-14-21-26,gpt-4.1-mini,oneshot,1,8
Session-2025-07-02-14-21-26,gpt-4.1-mini,oneshot,1,3
Session-2025-07-02-14-21-26,gpt-4.1-mini,oneshot,1,7
Session-2025-07-02-14-21-26,gpt-4.1-mini,oneshot,1,9
Session-2025-07-02-14-21-26,gpt-4.1-mini,oneshot,1,5
Session-2025-07-02-14-21-26,gpt-4.1-mini,oneshot,1,6
Session-2025-07-02-14-21-26,gpt-4.1-mini,oneshot,1,7
Session-2025-07-02-14-22-54,gemini-2.5-flash,oneshot,1,13
Session-2025-07-02-14-22-54,gemini-2.5-flash,oneshot,1,7
Session-2025-07-02-14-22-54,gemini-2.5-flash,oneshot,1,26
Session-2025-07-02-14-22-54,gemini-2.5-flash,oneshot,1,6
Session-2025-07-02-14-22-54,gemini-2.5-flash,oneshot,1,19
Session-2025-07-02-14-22-54,gemini-2.5-flash,oneshot,1,6
Session-2025-07-02-14-22-54,gemini-2.5-flash,oneshot,1,17
Session-2025-07-02-14-22-54,gemini-2.5-flash,oneshot,1,7
Session-2025-07-02-14-22-54,gemini-2.5-flash,oneshot,1,12
Session-2025-07-02-14-25-29,gemini-2.5-flash,fewshot,0,18
Session-2025-07-02-14-25-29,gemini-2.5-flash,fewshot,0,6
Session-2025-07-02-14-25-29,gemini-2.5-flash,fewshot,0,20
Session-2025-07-02-14-25-29,gemini-2.5-flash,fewshot,0,7
Session-2025-07-02-14-25-29,gemini-2.5-flash,fewshot,0,19
Session-2025-07-02-14-25-29,gemini-2.5-flash,fewshot,0,6
Session-2025-07-02-14-25-29,gemini-2.5-flash,fewshot,0,13
Session-2025-07-02-14-25-29,gemini-2.5-flash,fewshot,0,15
Session-2025-07-02-14-25-29,gemini-2.5-flash,fewshot,0,13
Session-2025-07-02-14-27-43,gpt-4.1-mini,fewshot,0,6
Session-2025-07-02-14-27-43,gpt-4.1-mini,fewshot,0,5
Session-2025-07-02-14-27-43,gpt-4.1-mini,fewshot,0,7
Session-2025-07-02-14-27-43,gpt-4.1-mini,fewshot,0,2
Session-2025-07-02-14-27-43,gpt-4.1-mini,fewshot,0,4
Session-2025-07-02-14-27-43,gpt-4.1-mini,fewshot,0,2
Session-2025-07-02-14-27-43,gpt-4.1-mini,fewshot,0,5
Session-2025-07-02-14-27-43,gpt-4.1-mini,fewshot,0,5
Session-2025-07-02-14-27-43,gpt-4.1-mini,fewshot,0,4
Session-2025-07-02-14-28-41,claude-sonnet-4-20250514,fewshot,0,9
Session-2025-07-02-14-28-41,claude-sonnet-4-20250514,fewshot,0,5
Session-2025-07-02-14-28-41,claude-sonnet-4-20250514,fewshot,0,8
Session-2025-07-02-14-28-41,claude-sonnet-4-20250514,fewshot,0,5
Session-2025-07-02-14-28-41,claude-sonnet-4-20250514,fewshot,0,8
Session-2025-07-02-14-28-41,claude-sonnet-4-20250514,fewshot,0,190
Session-2025-07-02-14-28-41,claude-sonnet-4-20250514,fewshot,0,10
Session-2025-07-02-14-28-41,claude-sonnet-4-20250514,fewshot,0,5
Session-2025-07-02-14-28-41,claude-sonnet-4-20250514,fewshot,0,7
Session-2025-07-02-14-33-14,claude-sonnet-4-20250514,fewshot,1,11
Session-2025-07-02-14-33-14,claude-sonnet-4-20250514,fewshot,1,7
Session-2025-07-02-14-33-14,claude-sonnet-4-20250514,fewshot,1,13
Session-2025-07-02-14-33-14,claude-sonnet-4-20250514,fewshot,1,6
Session-2025-07-02-14-33-14,claude-sonnet-4-20250514,fewshot,1,12
Session-2025-07-02-14-33-14,claude-sonnet-4-20250514,fewshot,1,8
Session-2025-07-02-14-33-14,claude-sonnet-4-20250514,fewshot,1,9
Session-2025-07-02-14-33-14,claude-sonnet-4-20250514,fewshot,1,10
Session-2025-07-02-14-33-14,claude-sonnet-4-20250514,fewshot,1,10
Session-2025-07-02-14-35-01,gpt-4.1-mini,fewshot,1,7
Session-2025-07-02-14-35-01,gpt-4.1-mini,fewshot,1,5
Session-2025-07-02-14-35-01,gpt-4.1-mini,fewshot,1,8
Session-2025-07-02-14-35-01,gpt-4.1-mini,fewshot,1,5
Session-2025-07-02-14-35-01,gpt-4.1-mini,fewshot,1,8
Session-2025-07-02-14-35-01,gpt-4.1-mini,fewshot,1,7
Session-2025-07-02-14-35-01,gpt-4.1-mini,fewshot,1,14
Session-2025-07-02-14-35-01,gpt-4.1-mini,fewshot,1,11
Session-2025-07-02-14-35-01,gpt-4.1-mini,fewshot,1,10
Session-2025-07-02-14-36-33,gemini-2.5-flash,fewshot,1,12
Session-2025-07-02-14-36-33,gemini-2.5-flash,fewshot,1,3
Session-2025-07-02-14-36-33,gemini-2.5-flash,fewshot,1,19
Session-2025-07-02-14-36-33,gemini-2.5-flash,fewshot,1,6
Session-2025-07-02-14-36-33,gemini-2.5-flash,fewshot,1,9
Session-2025-07-02-14-36-33,gemini-2.5-flash,fewshot,1,4
Session-2025-07-02-14-36-33,gemini-2.5-flash,fewshot,1,8
Session-2025-07-02-14-36-33,gemini-2.5-flash,fewshot,1,9
Session-2025-07-02-14-36-33,gemini-2.5-flash,fewshot,1,11
Session-2025-07-05-14-19-33,gemini-2.5-flash,zeroshot,0,13
Session-2025-07-05-14-19-33,gemini-2.5-flash,zeroshot,0,11
Session-2025-07-05-14-19-33,gemini-2.5-flash,zeroshot,0,9
Session-2025-07-05-14-19-33,gemini-2.5-flash,zeroshot,0,8
Session-2025-07-05-14-19-33,gemini-2.5-flash,zeroshot,0,17
Session-2025-07-05-14-19-33,gemini-2.5-flash,zeroshot,0,20
Session-2025-07-05-14-19-33,gemini-2.5-flash,zeroshot,0,7
Session-2025-07-05-14-19-33,gemini-2.5-flash,zeroshot,0,19
Session-2025-07-05-14-19-33,gemini-2.5-flash,zeroshot,0,21
Session-2025-07-05-14-21-59,gpt-4.1-mini,zeroshot,0,4
Session-2025-07-05-14-21-59,gpt-4.1-mini,zeroshot,0,2
Session-2025-07-05-14-21-59,gpt-4.1-mini,zeroshot,0,6
Session-2025-07-05-14-21-59,gpt-4.1-mini,zeroshot,0,5
Session-2025-07-05-14-21-59,gpt-4.1-mini,zeroshot,0,6
Session-2025-07-05-14-21-59,gpt-4.1-mini,zeroshot,0,8
Session-2025-07-05-14-21-59,gpt-4.1-mini,zeroshot,0,4
Session-2025-07-05-14-21-59,gpt-4.1-mini,zeroshot,0,3
Session-2025-07-05-14-21-59,gpt-4.1-mini,zeroshot,0,2
Session-2025-07-05-14-22-55,claude-sonnet-4-20250514,zeroshot,0,5
Session-2025-07-05-14-22-55,claude-sonnet-4-20250514,zeroshot,0,9
Session-2025-07-05-14-22-55,claude-sonnet-4-20250514,zeroshot,0,7
Session-2025-07-05-14-22-55,claude-sonnet-4-20250514,zeroshot,0,5
Session-2025-07-05-14-22-55,claude-sonnet-4-20250514,zeroshot,0,6
Session-2025-07-05-14-22-55,claude-sonnet-4-20250514,zeroshot,0,6
Session-2025-07-05-14-22-55,claude-sonnet-4-20250514,zeroshot,0,5
Session-2025-07-05-14-22-55,claude-sonnet-4-20250514,zeroshot,0,8
Session-2025-07-05-14-22-55,claude-sonnet-4-20250514,zeroshot,0,4
Session-2025-07-05-14-24-12,claude-sonnet-4-20250514,zeroshot,1,7
Session-2025-07-05-14-24-12,claude-sonnet-4-20250514,zeroshot,1,7
Session-2025-07-05-14-24-12,claude-sonnet-4-20250514,zeroshot,1,10
Session-2025-07-05-14-24-12,claude-sonnet-4-20250514,zeroshot,1,8
Session-2025-07-05-14-24-12,claude-sonnet-4-20250514,zeroshot,1,7
Session-2025-07-05-14-24-12,claude-sonnet-4-20250514,zeroshot,1,9
Session-2025-07-05-14-24-12,claude-sonnet-4-20250514,zeroshot,1,8
Session-2025-07-05-14-24-12,claude-sonnet-4-20250514,zeroshot,1,7
Session-2025-07-05-14-24-12,claude-sonnet-4-20250514,zeroshot,1,7
Session-2025-07-05-14-25-38,gpt-4.1-mini,zeroshot,1,5
Session-2025-07-05-14-25-38,gpt-4.1-mini,zeroshot,1,14
Session-2025-07-05-14-25-38,gpt-4.1-mini,zeroshot,1,6
Session-2025-07-05-14-25-38,gpt-4.1-mini,zeroshot,1,3
Session-2025-07-05-14-25-38,gpt-4.1-mini,zeroshot,1,10
Session-2025-07-05-14-25-38,gpt-4.1-mini,zeroshot,1,5
Session-2025-07-05-14-25-38,gpt-4.1-mini,zeroshot,1,6
Session-2025-07-05-14-25-38,gpt-4.1-mini,zeroshot,1,6
Session-2025-07-05-14-25-38,gpt-4.1-mini,zeroshot,1,3
Session-2025-07-05-14-26-51,gemini-2.5-flash,zeroshot,1,8
Session-2025-07-05-14-26-51,gemini-2.5-flash,zeroshot,1,10
Session-2025-07-05-14-26-51,gemini-2.5-flash,zeroshot,1,9
Session-2025-07-05-14-26-51,gemini-2.5-flash,zeroshot,1,8
Session-2025-07-05-14-26-51,gemini-2.5-flash,zeroshot,1,14
Session-2025-07-05-14-26-51,gemini-2.5-flash,zeroshot,1,19
Session-2025-07-05-14-26-51,gemini-2.5-flash,zeroshot,1,9
Session-2025-07-05-14-26-51,gemini-2.5-flash,zeroshot,1,10
Session-2025-07-05-14-26-51,gemini-2.5-flash,zeroshot,1,14
Session-2025-07-05-14-28-59,gemini-2.5-flash,oneshot,0,33
Session-2025-07-05-14-28-59,gemini-2.5-flash,oneshot,0,9
Session-2025-07-05-14-28-59,gemini-2.5-flash,oneshot,0,17
Session-2025-07-05-14-28-59,gemini-2.5-flash,oneshot,0,6
Session-2025-07-05-14-28-59,gemini-2.5-flash,oneshot,0,14
Session-2025-07-05-14-28-59,gemini-2.5-flash,oneshot,0,9
Session-2025-07-05-14-28-59,gemini-2.5-flash,oneshot,0,11
Session-2025-07-05-14-28-59,gemini-2.5-flash,oneshot,0,17
Session-2025-07-05-14-28-59,gemini-2.5-flash,oneshot,0,30
Session-2025-07-05-14-31-46,gpt-4.1-mini,oneshot,0,5
Session-2025-07-05-14-31-46,gpt-4.1-mini,oneshot,0,5
Session-2025-07-05-14-31-46,gpt-4.1-mini,oneshot,0,4
Session-2025-07-05-14-31-46,gpt-4.1-mini,oneshot,0,3
Session-2025-07-05-14-31-46,gpt-4.1-mini,oneshot,0,5
Session-2025-07-05-14-31-46,gpt-4.1-mini,oneshot,0,7
Session-2025-07-05-14-31-46,gpt-4.1-mini,oneshot,0,5
Session-2025-07-05-14-31-46,gpt-4.1-mini,oneshot,0,4
Session-2025-07-05-14-31-46,gpt-4.1-mini,oneshot,0,2
Session-2025-07-05-14-32-42,claude-sonnet-4-20250514,oneshot,0,6
Session-2025-07-05-14-32-42,claude-sonnet-4-20250514,oneshot,0,6
Session-2025-07-05-14-32-42,claude-sonnet-4-20250514,oneshot,0,4
Session-2025-07-05-14-32-42,claude-sonnet-4-20250514,oneshot,0,5
Session-2025-07-05-14-32-42,claude-sonnet-4-20250514,oneshot,0,4
Session-2025-07-05-14-32-42,claude-sonnet-4-20250514,oneshot,0,6
Session-2025-07-05-14-32-42,claude-sonnet-4-20250514,oneshot,0,5
Session-2025-07-05-14-32-42,claude-sonnet-4-20250514,oneshot,0,5
Session-2025-07-05-14-32-42,claude-sonnet-4-20250514,oneshot,0,4
Session-2025-07-05-14-33-57,claude-sonnet-4-20250514,oneshot,1,7
Session-2025-07-05-14-33-57,claude-sonnet-4-20250514,oneshot,1,7
Session-2025-07-05-14-33-57,claude-sonnet-4-20250514,oneshot,1,8
Session-2025-07-05-14-33-57,claude-sonnet-4-20250514,oneshot,1,6
Session-2025-07-05-14-33-57,claude-sonnet-4-20250514,oneshot,1,6
Session-2025-07-05-14-33-57,claude-sonnet-4-20250514,oneshot,1,8
Session-2025-07-05-14-33-57,claude-sonnet-4-20250514,oneshot,1,7
Session-2025-07-05-14-33-57,claude-sonnet-4-20250514,oneshot,1,8
Session-2025-07-05-14-33-57,claude-sonnet-4-20250514,oneshot,1,7
Session-2025-07-05-14-35-35,gpt-4.1-mini,oneshot,1,6
Session-2025-07-05-14-35-35,gpt-4.1-mini,oneshot,1,4
Session-2025-07-05-14-35-35,gpt-4.1-mini,oneshot,1,5
Session-2025-07-05-14-35-35,gpt-4.1-mini,oneshot,1,3
Session-2025-07-05-14-35-35,gpt-4.1-mini,oneshot,1,6
Session-2025-07-05-14-35-35,gpt-4.1-mini,oneshot,1,8
Session-2025-07-05-14-35-35,gpt-4.1-mini,oneshot,1,9
Session-2025-07-05-14-35-35,gpt-4.1-mini,oneshot,1,5
Session-2025-07-05-14-35-35,gpt-4.1-mini,oneshot,1,4
Session-2025-07-05-14-36-37,gemini-2.5-flash,oneshot,1,25
Session-2025-07-05-14-36-37,gemini-2.5-flash,oneshot,1,9
Session-2025-07-05-14-36-37,gemini-2.5-flash,oneshot,1,14
Session-2025-07-05-14-36-37,gemini-2.5-flash,oneshot,1,7
Session-2025-07-05-14-36-37,gemini-2.5-flash,oneshot,1,16
Session-2025-07-05-14-36-37,gemini-2.5-flash,oneshot,1,12
Session-2025-07-05-14-36-37,gemini-2.5-flash,oneshot,1,10
Session-2025-07-05-14-36-37,gemini-2.5-flash,oneshot,1,33
Session-2025-07-05-14-36-37,gemini-2.5-flash,oneshot,1,12
Session-2025-07-05-14-39-23,gemini-2.5-flash,fewshot,0,8
Session-2025-07-05-14-39-23,gemini-2.5-flash,fewshot,0,9
Session-2025-07-05-14-39-23,gemini-2.5-flash,fewshot,0,9
Session-2025-07-05-14-39-23,gemini-2.5-flash,fewshot,0,6
Session-2025-07-05-14-39-23,gemini-2.5-flash,fewshot,0,15
Session-2025-07-05-14-39-23,gemini-2.5-flash,fewshot,0,13
Session-2025-07-05-14-39-23,gemini-2.5-flash,fewshot,0,13
Session-2025-07-05-14-39-23,gemini-2.5-flash,fewshot,0,11
